Production_budget_USD,Worldwide_gross_USD
7500000,5142858
20000000,5178569
27000000,5204007
20000000,5210988
5000000,5211842
15000000,5217498
10000000,5241315
15000000,5306706
5000000,5308707
19000000,5310554
30000000,5321508
5000000,5321508
6000000,5359774
75000000,5409517
7000000,5430822
14000000,5463019
6250000,5488570
10000000,5490423
20000000,5501616
13500000,5501940
5000000,5502773
25000000,5516708
12000000,5549923
5500000,5580479
11000000,5599781
10000000,5637066
25000000,5654777
8000000,5656388
42000000,5666340
12000000,5669081
18000000,5675599
28000000,5686694
7000000,5694308
18000000,5700626
20000000,5702083
18000000,5705761
47000000,5707094
30000000,5718096
20000000,5749134
55000000,5755286
40000000,5775076
25000000,5778353
35000000,5781086
90000000,5800000
18000000,5828466
13000000,5871603
39000000,5881504
29000000,5899797
16000000,5900000
6000000,5909483
67000000,5932060
70000000,5946136
12500000,5956480
25000000,5958315
14000000,5990075
18000000,6000000
10000000,6000000
20000000,6002756
10000000,6003262
10000000,6044618
22000000,6047691
9000000,6047856
22000000,6069605
54000000,6087542
5000000,6090172
5000000,6096582
44000000,6105175
23000000,6113834
40000000,6114237
40000000,6115824
13500000,6118683
9000000,6126237
24000000,6144806
5000000,6157157
55000000,6167817
6500000,6173485
10000000,6197866
18500000,6198883
7000000,6199600
20000000,6201757
5500000,6217849
8500000,6263670
13000000,6276869
50000000,6291602
28500000,6301131
5000000,6352306
8000000,6363628
15000000,6382178
15000000,6409528
6500000,6423605
35000000,6448817
16800000,6469813
50000000,6471394
20000000,6485961
10000000,6491969
10000000,6501381
38000000,6504442
34000000,6543194
14000000,6552255
45000000,6566773
20000000,6575282
38600000,6594959
7000000,6601079
18000000,6617867
9000000,6623082
35000000,6630252
35000000,6670765
6000000,6671283
15000000,6708137
105000000,6712451
10000000,6719864
12000000,6730578
18000000,6734844
40000000,6738000
9700000,6738954
5000000,6755271
8000000,6758416
55000000,6768055
23000000,6777741
12500000,6797696
5800000,6800000
10000000,6810754
21000000,6830957
6000000,6852450
17000000,6855137
6800000,6857096
12000000,6860000
10000000,6861102
35000000,6864016
20000000,6882696
10000000,6900335
31000000,6901965
17900000,6905861
30000000,6916869
19000000,6928068
12000000,6982680
40000000,7000000
12500000,7000000
12500000,7000000
28000000,7002261
5600000,7009668
20000000,7013191
17500000,7018188
23000000,7018525
10000000,7027762
13500000,7060876
17000000,7070641
10000000,7078738
5000000,7100000
46500000,7100177
25000000,7164995
18000000,7190505
41000000,7204138
15000000,7219578
55000000,7221458
45000000,7262288
7000000,7309628
17000000,7314027
10000000,7316658
40000000,7388654
35000000,7459300
29000000,7460204
7000000,7468936
26000000,7496522
27000000,7500310
30000000,7502560
20000000,7535331
10000000,7570127
20000000,7578946
10000000,7582065
15000000,7597898
25000000,7634767
30000000,7638768
35000000,7659747
30000000,7689607
14500000,7691700
60000000,7696134
9000000,7710234
6000000,7714996
18000000,7739049
10000000,7779614
15000000,7800825
15250000,7802450
38000000,7873007
13000000,7881335
30000000,7885294
12000000,7900000
45000000,7916887
12000000,7919574
6900000,7950889
20000000,8000000
5000000,8000000
13000000,8005586
70000000,8005980
20000000,8008161
50000000,8017467
24000000,8031955
18000000,8038061
20000000,8047525
35000000,8050977
19400000,8060487
13000000,8064972
20000000,8110975
10000000,8112414
25000000,8114270
15000000,8117637
19000000,8123860
20000000,8135024
28000000,8165213
13000000,8178001
12000000,8195551
90000000,8224288
50000000,8267544
8000000,8279017
15000000,8322608
35000000,8323085
20000000,8330720
50000000,8355815
7000000,8373585
15000000,8378141
16000000,8400000
19000000,8402485
45000000,8406711
33000000,8408835
24000000,8427204
28000000,8434601
5000000,8460000
70000000,8462347
10000000,8525600
30000000,8535575
25000000,8547045
30000000,8574339
20000000,8580428
15000000,8586376
6000000,8596914
17000000,8677425
27000000,8712564
15000000,8735529
50000000,8742261
10000000,8801940
10000000,8803865
20000000,8813410
7000000,8824553
10000000,8840453
8000000,8864699
15000000,8874389
5000000,8886160
20000000,8888355
28000000,8891623
15000000,8921050
12500000,9046156
30000000,9055010
20000000,9109322
11000000,9170214
7000000,9176000
15000000,9176787
7000000,9176933
11000000,9177065
6000000,9204489
6200000,9205924
20000000,9208876
7000000,9228788
15000000,9237470
5500000,9282750
25000000,9286314
30000000,9362785
15000000,9396870
10000000,9408183
14000000,9409538
60000000,9420546
21000000,9451946
20000000,9479390
55000000,9489829
20000000,9496130
20000000,9534258
15000000,9579068
5000000,9628751
40000000,9652000
24000000,9659074
5000000,9669521
5100000,9709597
20000000,9725847
27500000,9736045
37500000,9793406
50000000,9812870
22000000,9818792
15000000,9929135
10000000,9949470
17000000,10000000
65000000,10014234
92000000,10017322
10000000,10019109
13000000,10020081
6000000,10021175
25000000,10039566
19000000,10049886
12000000,10051659
25000000,10103647
25000000,10115014
7800000,10130108
8000000,10130219
10100000,10143618
30000000,10143779
35000000,10144010
6500000,10155691
9000000,10161099
35000000,10161183
10000000,10162034
60000000,10166502
5000000,10166820
50000000,10169202
12000000,10198766
7000000,10199354
10000000,10205616
11000000,10214647
35000000,10219501
38000000,10229300
8000000,10273187
35000000,10275638
7500000,10284523
15500000,10299782
35000000,10319915
25000000,10324441
40000000,10330853
27000000,10341093
50000000,10359006
65000000,10378555
14000000,10397365
15000000,10411980
5000000,10429707
40000000,10447421
7500000,10465659
15000000,10494147
18000000,10501938
35000000,10508518
15000000,10513979
47000000,10547117
20000000,10555348
50000000,10561038
20000000,10570375
10000000,10571408
5000000,10572742
27000000,10618813
23000000,10660147
22500000,10663357
40000000,10664749
34000000,10672566
18500000,10680275
20000000,10686841
22000000,10696210
25000000,10719367
50000000,10721033
12600000,10724389
12500000,10725228
25000000,10731997
5000000,10751126
15000000,10763469
45000000,10763520
7000000,10803211
7500000,10823158
10000000,10827813
30000000,10895295
28000000,10907291
25000000,10915744
30000000,10965209
32000000,10977721
5000000,11000000
5000000,11000000
35000000,11001272
13000000,11003643
33000000,11008770
20000000,11036366
12000000,11050094
10500000,11052958
25000000,11092559
25000000,11100000
5500000,11107431
15000000,11156471
20000000,11175164
45000000,11203026
17000000,11227824
14000000,11242801
34000000,11263966
25000000,11273517
22000000,11330849
12000000,11368012
35000000,11405825
25000000,11411644
12000000,11487676
6000000,11494838
50000000,11497497
11000000,11502976
23000000,11511323
55000000,11532774
25000000,11538204
16000000,11540112
10000000,11546543
10000000,11560259
30000000,11578022
25000000,11603545
15000000,11614954
12000000,11634362
17000000,11634458
6000000,11642254
15000000,11660180
5000000,11686940
28000000,11689053
20000000,11744960
10000000,11748661
6000000,11784569
60000000,11803254
16000000,11810854
9000000,11862398
16500000,11892415
6000000,11911200
22000000,11962712
12500000,11965282
35000000,11989328
21600000,12000000
10000000,12008642
30000000,12017369
5700000,12044087
30000000,12050299
5000000,12062558
60000000,12069719
40000000,12082391
20000000,12134935
23000000,12189514
12000000,12200000
15000000,12212417
25000000,12227722
9000000,12232382
5000000,12232628
20000000,12234694
5000000,12241072
26000000,12279691
12500000,12281000
14000000,12314651
24000000,12372410
6500000,12376563
9500000,12391761
20000000,12398628
30000000,12406646
16000000,12431792
31000000,12482741
20000000,12482775
6000000,12500000
25000000,12512862
36000000,12532777
20000000,12545979
10000000,12554569
14000000,12559771
7500000,12574914
10000000,12589255
5000000,12592907
60000000,12600231
7200000,12610552
7000000,12634962
25000000,12638526
20000000,12639297
15000000,12669914
8000000,12671300
34000000,12695691
11800000,12711491
30000000,12712093
6000000,12716953
13000000,12749992
22000000,12784713
15000000,12786053
6000000,12793213
39000000,12796824
12000000,12796861
15000000,12801190
23000000,12803305
49000000,12816367
27000000,12834849
17000000,12840842
55000000,12882934
15000000,12898847
9400000,12899867
12000000,12905901
5000000,12947763
5000000,12961389
15000000,12981269
20000000,12987647
30000000,13001257
16500000,13005485
23000000,13019253
14000000,13024170
25000000,13038660
36000000,13052741
9000000,13075390
15000000,13077184
60000000,13090630
5000000,13099931
45000000,13109815
11000000,13110448
14000000,13121555
10800000,13182281
40000000,13208023
6000000,13235267
11000000,13248209
27000000,13261851
35000000,13264986
35000000,13305665
15000000,13337299
20000000,13367624
6500000,13368437
18000000,13371528
20000000,13383747
40000000,13395939
20000000,13395961
18000000,13400000
45000000,13414714
5000000,13442412
18000000,13491653
40000000,13508635
5000000,13542874
20000000,13548322
22000000,13555988
11000000,13558739
15600000,13571817
11000000,13592872
70000000,13596911
8500000,13610521
5000000,13649881
20000000,13651946
25000000,13657115
45000000,13668249
19000000,13680000
20000000,13684249
10000000,13684949
26000000,13738574
10000000,13744960
18000000,13747234
22000000,13749300
13000000,13756082
65000000,13757804
14000000,13800000
20000000,13801755
15000000,13843771
27000000,13848978
16000000,13854000
11000000,13906394
16000000,13922211
25000000,13938332
32000000,13942007
9000000,13960394
25000000,13973532
5000000,13985117
12000000,14010363
75000000,14010690
20000000,14011084
8000000,14018296
40000000,14018364
16000000,14019924
7000000,14026509
40000000,14046595
12500000,14060950
25000000,14102929
16000000,14108518
9500000,14114000
5000000,14124286
20000000,14190901
30000000,14208384
60000000,14218868
7000000,14231669
15000000,14249005
22000000,14252830
50000000,14271297
40000000,14279575
70000000,14294842
12000000,14301505
20000000,14326865
30000000,14334645
5000000,14343976
40000000,14358033
20000000,14363397
8600000,14373825
40000000,14375181
36000000,14378353
13000000,14394097
14000000,14395874
9000000,14431633
27000000,14435076
28000000,14439985
40000000,14448589
26000000,14469428
35000000,14471440
10000000,14482031
25000000,14543943
6000000,14545844
25000000,14589444
10000000,14597405
5000000,14600000
7000000,14618727
75000000,14623082
13000000,14677674
31500000,14708696
25000000,14744435
16000000,14792779
18000000,14800725
43000000,14828555
6000000,14836174
5000000,14843425
7000000,14853474
6000000,14856291
12000000,14915773
40000000,14942422
8500000,14943582
15000000,14945541
40000000,14967182
47000000,14970038
25000000,14983572
15000000,14998027
35000000,14998070
5000000,15000000
30000000,15007991
13500000,15024049
8500000,15024232
8000000,15032800
25000000,15051977
20000000,15055091
14000000,15064948
8000000,15070285
80000000,15074191
34000000,15090399
10000000,15122676
5000000,15126948
80000000,15132763
15000000,15136870
18000000,15160801
10000000,15164492
14000000,15171475
35000000,15185241
10000000,15198912
18000000,15285588
45000000,15298133
12000000,15323921
35000000,15325127
25000000,15331289
25000000,15382170
10000000,15417771
16000000,15427192
47500000,15436808
20000000,15464026
20000000,15473333
25000000,15502112
14000000,15515460
45000000,15527125
45000000,15541549
20000000,15543862
14000000,15549702
25000000,15567860
15000000,15634090
18000000,15652637
17000000,15680099
5500000,15700000
20000000,15712072
22000000,15716828
23000000,15728335
62000000,15738632
30000000,15740721
23000000,15789389
20000000,15800078
7000000,15821461
47000000,15849032
10000000,15861566
13500000,15901849
19000000,15911332
100000000,15951040
40000000,15962471
20000000,15988876
29000000,16007718
26000000,16008272
5000000,16017403
22000000,16029670
10000000,16033556
9800000,16044025
25000000,16118077
23000000,16123851
18000000,16131410
10000000,16153000
8000000,16170632
16000000,16204793
55000000,16222392
9000000,16235738
37500000,16247159
20000000,16248701
55000000,16285240
21000000,16289867
30000000,16295774
14000000,16298046
24000000,16304786
12000000,16311571
17000000,16316273
30000000,16323969
16000000,16357770
25000000,16468499
15000000,16500786
26000000,16521410
10000000,16535005
20000000,16574590
50000000,16581575
32000000,16640210
25000000,16655224
10000000,16667084
21500000,16684352
18000000,16703799
8000000,16734283
13000000,16757163
28000000,16779636
59000000,16790790
45000000,16809014
35000000,16862585
6500000,16875273
20000000,16883115
13000000,16929123
29000000,16930185
30000000,16930884
9000000,16963963
25000000,16973715
24000000,16980098
20000000,16988996
38000000,16991902
38000000,16999934
30000000,17010170
29000000,17016190
15000000,17017811
100000000,17018422
7000000,17044981
18000000,17062499
20000000,17104669
10000000,17105219
33000000,17142080
50000000,17181265
30000000,17192205
18000000,17200925
65000000,17218916
45000000,17220599
20000000,17231291
15000000,17237855
7000000,17259427
18000000,17266359
30000000,17266505
32500000,17288155
12000000,17292381
60000000,17303424
12000000,17321573
28000000,17326650
38000000,17378193
10000000,17380866
5000000,17390770
8000000,17394881
25000000,17432844
20000000,17445186
20000000,17468887
80000000,17480890
15000000,17498804
25000000,17501244
7000000,17506470
15000000,17507368
27500000,17510118
20000000,17530219
10000000,17536256
7500000,17544812
5000000,17547999
8000000,17550872
6000000,17583468
6000000,17606684
35000000,17616641
35000000,17630465
80000000,17650704
12000000,17654912
10000000,17657973
5000000,17686929
25000000,17718223
95000000,17725785
13000000,17742948
21000000,17760244
30000000,17766658
5000000,17768757
25000000,17791031
30000000,17800004
9000000,17804273
32000000,17804299
20000000,17807569
32000000,17839115
8000000,17843379
32000000,17848322
22000000,17951431
13000000,18007317
8000000,18090181
20000000,18098433
67000000,18115927
60000000,18208078
70000000,18211013
9000000,18225165
20000000,18253415
10000000,18272447
10000000,18297124
30000000,18298649
35000000,18306166
35000000,18317151
80000000,18319860
30000000,18324242
18000000,18335230
38000000,18340051
20000000,18354356
11000000,18388357
20000000,18400000
40000000,18450127
18500000,18451251
30000000,18522064
10700000,18542974
32000000,18552460
55000000,18582965
12000000,18597342
25000000,18600152
42000000,18620000
6000000,18621249
29000000,18622031
7000000,18642318
23000000,18653615
38000000,18653746
5000000,18656400
16500000,18663911
13000000,18704596
12000000,18761993
50000000,18782227
20000000,18826490
15000000,18844784
8000000,18848430
70000000,18848538
25000000,18877153
20000000,18882880
6000000,18923776
23000000,18942396
30000000,18985794
70000000,18990542
12000000,19000000
40000000,19019882
5000000,19032000
30000000,19035741
16000000,19068240
65000000,19075290
70000000,19076815
5000000,19115191
15000000,19161999
72000000,19176754
17500000,19185184
23000000,19192510
20000000,19219250
16000000,19284974
22000000,19288130
35000000,19294901
30000000,19316646
22000000,19351569
25000000,19375982
35000000,19389454
45000000,19398532
5000000,19421271
80000000,19422319
5000000,19438638
50000000,19452138
35000000,19478106
80000000,19480739
42000000,19487173
25000000,19490041
22000000,19528602
65000000,19551067
9300000,19571091
14000000,19637147
20000000,19661987
80000000,19676965
17000000,19693891
50000000,19694635
50000000,19699706
35000000,19701164
45000000,19719930
18000000,19739000
20000000,19762690
60000000,19806188
10000000,19843795
70000000,19870567
7000000,19910002
11000000,20000000
8500000,20007149
9000000,20035310
8000000,20036244
30000000,20040895
25530000,20080020
45000000,20133326
45000000,20150241
40000000,20157300
22000000,20158492
20000000,20180155
20000000,20211394
15000000,20218921
14000000,20255281
7000000,20257000
20500000,20264436
20000000,20268825
35000000,20275446
40000000,20278055
19000000,20300218
10000000,20342161
10000000,20342852
40000000,20350754
90000000,20377913
10000000,20384136
11000000,20388920
28000000,20396829
6000000,20400000
45000000,20404841
30000000,20422207
49000000,20423389
18000000,20497844
50000000,20534907
16000000,20537137
15000000,20591853
5000000,20659423
22000000,20668843
18975000,20700082
5000000,20733485
22000000,20738724
10000000,20766000
5000000,20773069
10000000,20777061
15000000,20804166
50000000,20810036
42000000,20844907
30000000,20868638
20000000,20919166
80000000,20950820
12500000,20959585
35000000,20982478
7000000,21000000
15000000,21000147
40000000,21002919
75000000,21009180
37000000,21052030
12500000,21078145
12000000,21089146
10000000,21120616
30000000,21128796
12000000,21133087
30000000,21148651
17000000,21170563
11000000,21171695
40000000,21176322
35000000,21198205
40000000,21218403
5000000,21222315
55000000,21226204
20000000,21284514
90000000,21295021
27000000,21300000
50000000,21302340
6000000,21305259
150000000,21392758
15000000,21403519
20000000,21413105
10000000,21416355
34800000,21443494
15000000,21468807
80000000,21471685
19000000,21488481
27000000,21500000
5000000,21502690
12000000,21540363
20000000,21541218
25000000,21567853
8500000,21569509
9000000,21571189
50000000,21587519
10000000,21590086
50000000,21596445
8000000,21706101
21000000,21731001
16000000,21799652
30000000,21800302
32500000,21819348
25000000,21835784
30000000,21858070
50000000,21903748
23000000,21973182
5000000,21995263
24000000,22000000
45000000,22006296
25000000,22032635
20000000,22105643
41000000,22108977
10600000,22163442
6000000,22168359
15000000,22189039
5900000,22231658
13000000,22235901
21000000,22245070
21500000,22331846
12000000,22348241
40000000,22365133
7400000,22395806
22000000,22400154
92000000,22406362
40000000,22433915
37000000,22450975
18000000,22455510
35000000,22467450
25000000,22486409
27000000,22495466
18500000,22498520
60000000,22508689
30000000,22530295
45000000,22532572
32000000,22537881
8000000,22549338
29000000,22619589
60000000,22672813
12000000,22673340
44000000,22730924
17000000,22734486
12000000,22744718
75000000,22751979
38000000,22770864
40000000,22772500
8000000,22800000
53000000,22852487
13000000,22858926
35000000,22913677
12000000,22921898
45000000,22951340
15000000,22954968
11000000,22958583
18000000,22965110
20000000,22991379
52000000,23010607
100000000,23022309
5000000,23047939
35000000,23083334
20000000,23086480
15000000,23089926
25000000,23091010
50000000,23159305
80000000,23169033
20000000,23186769
30000000,23209310
16000000,23216709
24000000,23240020
7000000,23247539
30000000,23337196
6000000,23341568
36000000,23360779
20000000,23364784
35000000,23365858
18000000,23380203
60000000,23385416
20000000,23438250
35000000,23483357
26000000,23514247
17500000,23519128
22000000,23530831
10000000,23591043
25000000,23591432
16000000,23618786
11000000,23978402
30000000,23998226
110000000,24004159
30000000,24004833
50000000,24006726
18000000,24007324
38000000,24044532
25000000,24046682
52000000,24077427
6500000,24103594
35000000,24139805
5000000,24148068
21000000,24149393
42000000,24149632
40000000,24172899
31000000,24185781
28000000,24307106
45000000,24343673
42000000,24375436
